id,qid1,qid2,question1,question2,is_duplicate
341,679,680,Which is the best programing language for tcs?,Which is the best programming language?,0
342,681,682,Earthquake resistant homes?,How do earthquake resistant buildings work?,1
343,683,684,Is Kristen Stewart a bad actress?  Why or why not?,Is Jennifer Lawrence a bad actress?,0
344,685,686,Why do some Japanese guys try to look feminine? Don't the girls find it gross?,Why have most of the guys in India become so desperate? Don't they know that girls don't always look for relationships? Would it hurt guys to become our friend first?,0
345,687,688,What are the five most popular sugar daddy websites?,What is it like to date a cougar or a sugar daddy?,0
346,689,690,What is the VTU 1st sem exam time table of 2016 (Dec)?,How do I frame my time table for 4 months to crack Gate 2016?,0
347,691,692,What is the best phone to buy below 15k?,Which are best mobile phones to buy under 15000?,1
348,693,694,How do we start a business?,How do I start business from nothing?,1
349,695,696,What's the best near-death experience you've ever had?,Has anyone ever had a near-death experience?,1
350,697,698,Why do I keep getting fleas from my dogs?,How can I keep my dog from getting fleas?,1
351,699,700,What year did the letter J come?,When was the Letter J created?,1
352,701,702,Harvard College Courses: What is general shopping advice for Turkish classes?,Harvard College Courses: What is general shopping advice for Tamil classes?,0
353,703,704,How do I send message from one Android phone to another Android phone through bluetooth?,How do I transfer my contacts from one Android phone to another Android phone?,0
354,705,134,What are the most important books ever written?,What is the most important book you have ever read?,1
355,706,707,What universities does Sigma Designs recruit new grads from? What majors are they looking for?,What universities does Sigma-Aldrich recruit new grads from? What majors are they looking for?,0
356,708,709,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,I'm a masters student interested to work in Humanitarian sector. What are the skills required? I'm a medical doctor doing my masters in UK,0
357,710,711,What universities does Powell Industries recruit new grads from? What majors are they looking for?,What universities does Chart Industries recruit new grads from? What majors are they looking for?,0
358,712,713,What are some of the best movie posters you have come across?,What are the best & iconic movie posters?,0
359,714,715,What are some examples of deuteromycota and how are they formed?,Could all bitcoin mining be done by a single Raspberry Pi?,0
360,716,717,How racist is too racist?,How racist are you?,0
361,718,719,Are there any differences between however and nevertheless?,What's the difference between between and among?,0
362,720,721,Are Canada Geese really Canadian?,What do Canadians call Canada?,0
363,722,723,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?,How would you find the zero of the function for [math]y=\frac{4x^2 - 36x}{ x-9}[/math]?,0
364,724,725,How do I edit my devices on my Google play account?,How do I add a second device to a Google Play account?,0
365,726,727,How can I become a good speaker?,What should I do to be a good Speaker?,1
366,728,729,How can I write a letter to Mr. Narendra Modi?,How can I write to Narendra Modi?,1
367,730,731,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,Who is more delusional: Donald Trump or Ted Cruz?,0
368,732,733,Why do they name bastards Snow?,"If Jon Snow is not Ned's bastard, why does Lady Catelyn hate him so much?",0
369,734,735,What do you think about the Bermuda Triangle?,What are your theories about Bermuda Triangle?,1
370,736,737,Do Mexican girls like black guys?,Do girls like black guys with no beard?,0
371,738,739,Have you lived in a tiny house?,Would you live in a tiny house?,0
372,740,741,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",I am an 18 years old boy and I love a girl who's 14 years old. We both live Tamil Nadu. Is this a time to propose to her?,0
373,742,743,Can you debeak cockerels at 8 months old?,How much and with what should I feed my 3 months old raven?,0
374,744,745,What should someone do to overcome anxiety?,What should I do to avoid depression and anxiety?,1
375,746,747,How do we avoid whey in Yogurt?,Is bad breath a sign of a strong stomach?,0
376,748,749,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?","I'm a girl and I'm in love my best friend (who is also a girl), what should I do?",0
377,750,751,What is the best university in Germany for an MS?,Which are the best universities in Germany for getting a degree in mechanical engineering?,0
378,752,753,How do I maintain my peace of mind?,How can I maintain my peace of mind?,1
379,754,755,Which car has good build quality in india?,Is Volkswagen a good reliable car?,0
380,756,757,Why does massaging one's temples soothe a migraine or headache?,What are the causes and most effective ways to treat or cure migraine headaches?,0
381,758,759,Which one is better among KMC Manipal and KMC Mangalore?,What is the brief comparison of KMC in Manipal and Mangalore?,1
382,760,761,Why are my bestfriend still ignoring me?,What should I do when my bestfriend is ignoring me?,0
383,762,763,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,Which useful Android phone apps are not available in the Google Play store?,0
384,764,765,How do I keep motivation to learn a language?,How do you keep motivated when you learn a new language?,1
385,766,767,What are the top assessment companies in India?,Which are the top firms in Skills assessment industry in India and Globally?,0
386,768,769,What does @ mean as an emoticon?,Emoticons: What does “:/” mean?,0
387,770,771,Is a pinkish discharge normal in early pregnancy? What causes it?,What did nicholas piramal do with 17500 cr?,0
388,772,773,What are the best ways to properly finger yourself?,What would be the best way of keeping yourself amused in a prison?,0
389,774,775,How do scientists work?,Where do scientists work?,0
390,776,777,How many sponsored candidates are shortlisted for CMC vellore?,"What is the office culture and woking at Patanjali office, haridwar?",0
391,778,779,What is the different between Chinese wedding ceremony and western wedding ceremony?,What is the difference between Chinese and Western style wedding?,1
392,780,781,What is the condition of tourism in Pakistan?,Preferable PG courses for BE (EEE) student in Tamil Nadu?,0
393,782,783,What is the different between offshore and onshore funds?,What is the difference between offshore and onshore?,0
394,784,785,Why should one hate Shahrukh Khan?,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,1
395,786,787,What are the best self-help books you've ever read?,What are the top self help books I should read?,1
396,788,789,Is Evernote useful?,What is Evernote used for?,1
397,790,791,A title for my continuation to The Gift of the Magi?,How do I start my continuation for the Gift of the Magi?,0
398,792,793,What is a good song to lyric prank your best friend?,What are some good lyric prank songs to send your best friends?,1
399,794,795,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?,I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?,0
400,796,797,How do I pass a drug test for methamphetamine?,Can hair dye help pass a hair follicle drug test for daily meth smokers?,1
401,798,799,How could start with open source development?,How should I start contributing to open source projects?,1
402,800,801,Why do dreams look so real?,"If you dream about some kind of harm, will there be injuries in real life?",0
403,802,803,Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,1
404,804,805,How can I get entry in MIT?,What are the requirements for selection into MIT?,1
405,806,807,Does a fetus breathe when it's inside a womb?,How does a fetus exhale in the womb?,1
406,808,809,What are movies with incest scenes?,Are there any good incest movie?,1
407,810,811,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,0
408,812,813,"According to the International Federation of Robotics, how many robots existed in 2012?",What type of belt can be used to lift 200 Kg continuously?,0
409,814,815,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?","Why does Oberon punish Titania in ""A Midsummer Night's Dream""?",0
410,816,817,Do you regret your divorce?,Have you ever regretted your divorce?,1
411,818,819,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",How much can a person's DNA change from birth to death in a life span of approximately 70 years?,1
412,820,821,Is it right to tell a girl the you have feelings for her?,What are some cool facts about Facebook?,0
413,822,823,"Is Donald Trump taking cocaine, as Howard Dean suggests?",Are there any strong indications that Donald Trump does cocaine?,1
414,824,825,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",What is the syllabus for ICSE 2017 geography map?,0
415,826,827,Which is more financially beneficial: being in a firm or teaching in an architecture college?,"Why might career training programs be more beneficial than a college degree, if at all, to aspiring entrepreneurs and tycoons?",0
416,828,829,How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,1
417,830,831,Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,0
418,832,833,What is the biggest monster in Monster Hunter?,Is there a Monster Hunter PC game?,0
419,834,835,How can I convince people to stop blaspheming against the Holy Spirit?,Does it matter from which college you do your graduation (BCom) from for admission into a top Indian B-School even If I score high(99%+)?,0
420,836,837,Why can't I stop watching porn?,Why should / shouldn't I watch porn?,0
421,838,839,How can I start trusting any one?,How can one learn to trust again?,0
422,840,841,What's your bucket list?,What is your bucket list?,1
423,842,843,How did you first come across porn?,How were you first introduced to porn?,1
424,844,845,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,0
425,846,847,Why can’t charged molecules pass through the lipid cell membrane?,Why can't sodium channels pass through potassium channels?,0
426,848,849,How does it feel to be a spouse of a renowned porn star?,How can I get rid of the feeling that my spouse is cheating on me?,0
427,850,851,What is the best hostel booking affiliate program?,Which is the best non AC girls hostel in Srm?,0
428,852,853,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?","How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?",0
429,854,855,What can I eat every day to be more healthy?,Is it healthy to eat a whole avocado every day?,1
430,856,857,How do I make free calls to family members on Airtel Andhra Pradesh?,How do I get Facebook badge notifications on HTC 10?,0
431,858,859,What would Hillary Clinton do now that the election is over?,What will Hillary Clinton do now?,1
432,860,861,Should I use Vicks Vapor Rub for a stuffy nose?,How do you apply Vicks Vapor rub to treat a stuffy nose?,1
433,862,863,How I start prepare for UGC net English literature latest syllabus?,How do I prepare for Net JRF in English literature?,1
434,864,865,How did early Europeans get protein before the Columbian Exchange?,How did they say breakfast in Portuguese before coffee was introduced to Europeans & the Portuguese language?,0
435,866,867,What is the best forum for graphic designers?,Who is the best graphic designer in israel?,0
436,868,869,Is Alex Jones a satirical show?,How is The Canterbury Tales a satire?,0
437,870,871,Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,Which should I start with: Angular 2 or AngularJS 1?,0
438,872,873,Why can't we fall asleep on some days?,Why do we fall asleep?,0
439,874,875,Which Marvel movies have not included Stan Lee cameos?,What is your favourite Stan Lee cameo in a Marvel film?,0
440,876,877,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,What are your views on ban of 500 and 1000 rupee notes in India?,1
441,878,879,What does the 10/6 label on the Mad Hatter's hat mean?,How do you find a figure labeled this way in a textbook?,0
442,880,881,Who wrote the Kars for Kids jingle?,I am a freelance musician. How can I get into the jingle industry?,0
443,882,883,Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater taffy candy imported in China?,1
444,884,885,What are the minimum requirements to enter MIT?,How can I join MIT?,1
445,886,887,How do you answer a question on Quora?,What is the best thing you've ever learned on Quora?,0
446,888,889,Israel vs Iran: who would win?,"If Israel and Iran went to war, who would win?",1
447,890,891,When is it too late to learn the piano?,I'm almost 40. Is it too late for me to learn piano?,1
448,892,893,What are natural numbers?,What is a least natural number?,0
449,894,895,Is One Plus 3T 4G VoLTE enabled phone?,Which phone to buy Moto m or one plus 3t?,0
450,896,897,How do I enter a new email ID which I can access to recover my Facebook ID?,I lost all my ID. I am adopted and can't access my original birth certificate. How do I replace my ID without even a birth certificate?,0
451,898,899,How we can travel faster than light?,Is it possible to travel faster than light?,1
452,900,901,What is it like being a firefighter?,What's it like to be a firefighter?,1
453,902,903,What are the factors that causes data inconsistency in distributed platform/application?,What are the main data platform?,0
454,904,905,What are the differences between POCSO and sexual offenses in the IPC?,Do we need the IPC section 375?,0
455,906,907,"What is an alternative for the word ""is""?",What is the alternative word for creative?,0
456,908,909,What is considered an illegal screen in the NBA?,Shaquille O'Neal considers Tim Duncan a power forward therefore disqualifying Duncan from the NBA great big men discussion. Does O'Neal have a point?,0
457,910,911,Nothing excites me anymore. How do I regain that excitement?,Why do I feel like I'm excited about something when I have nothing to be excited about?,0
458,912,913,What are the life lessons that Batman teaches us?,What are the life lessons you can learn from the dark knight?,1
459,914,915,How do you stop a criminal's attempt to kidnap you so you escape unharmed?,How do you stop a criminal's attempt to kidnap you and escape unharmed?,1
460,916,917,How do I sell on Amazon?,How do I start selling on Amazon?,1
461,918,919,Daniel Ek: When an we expect Spotify in India?,Daniel Ek: Are there any future plans of releasing Spotify in India?,1
462,920,921,What are the top 10 books one should read in his or her early 20s?,What books are worth reading in early 20s?,1
463,922,923,Which book should I start with for the GATE preparation?,What book do I start with for GATE preparation?,1
464,924,925,"What does the phrase ""He who does not love abides in death"" exactly mean?","What does the phrase ""love begets love"" mean?",0
465,926,927,What is similar to 4Shared?,What is similar to 4shared but better?,1
466,928,929,Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?,"If someone grabs you by your shirt with both their hands and tells you to shut up, is that assault and can you call the police?",0
467,930,931,Considering the current trend of information technology what is the future of print media?,What is this model's name? I see her everywhere.,0
468,932,933,What is the best recipe for chicken pizza?,What are some good pizza recipes?,0
469,934,935,What are some good places to learn mountaineering in India?,What are some good mountaineering institutes for a beginner level mountaineering course?,1
470,936,937,Do new table tennis balls damage rubbers?,How do you unlock a car with a tennis ball?,0
471,938,939,My new Xbox one S can't connect to internet during setup. Any solutions?,Can I withdraw my money from any branch of particular bank .my bank is bank of Baroda I have no Atm card and cheque book?,0
472,940,941,Is it wrong for me to be content with my life?,What is a cover story?,0
473,942,943,Is gravity only a theory?,"According to the M-theory, there are 11 dimensions. Why are only 5 dimensions in regards to gravity addressed in Interstellar?",0
474,944,945,How could I become a fighter pilot when I have less than the required eyesight?,I have terrible eyesight. Can I still become a fighter pilot in the Air Force?,0
475,946,947,Operation executive salary in Infosys?,"How do I do the Wake Back To Bed lucid dreaming technique when I think I have restless leg syndrome (regardless, my legs hurt at night.)?",0
476,948,949,Have cavemen been scientifically tested?,Have mythical creatures been scientifically tested?,0
477,950,951,Can climate change be reversed?,Can the global climate change be reversed or halted?,1
478,952,953,How should ask my crush for her number?,What should I ask my crush?,0
479,954,955,Why do I believe that gravitation force exist?,Does gravitational force exists in all planets?,0
480,956,957,Did Mahabharata really happen?,Did Mahabharata really happen or only an allegory according to M.K.Gandhi?,1
481,958,959,Can Congress stop Presidents from starting a major war?,What's a good source to purchase Attorneys eMail addresses? Thanks,0
482,960,961,Is it safe to lose 25 pounds in 1 month?,Is it healthy to lose 13 pounds in a month?,0
483,962,963,What are some cute shounen ai series?,When will the Pokémon series end?,0
484,964,965,Why are police lights red and blue?,Why are police lights red and/or blue?,1
485,966,967,How do I post a question that was marked as needing improvement?,"Why was my question marked as ""needs improvement?""",1
486,968,969,Who owns nature?,Who owns Natural Factors?,0
487,970,971,How can I install OBB/data file on an Android?,I want to install EXE extension files in Android mobile. Is it possible?,0
488,972,973,What is garbage value? And Why do we get garbage value in c?,What is garbage value in c?,0
489,974,975,How do I prepare for software interviews?,What are the best ways to prepare for software interviews?,1
490,976,977,Does Rahul Gandhi have any chance to become next PM of India after Modi?,Does Rahul Gandhi have chances to become next Pm of India after Modi?,1
491,978,979,Is noon 12 am or 12 pm?,Is it good to do gym at morning and swimming at noon?,0
492,980,981,What is the difference between a comet and an asteroid?,What is the difference between asteroids and comets?,1
493,982,983,Is chocolate milk good for you?,Why is unrefrigerated milk good for you?,0
494,984,985,How should I study,What are some tricks to study effectively?,1
495,986,987,Which country is best for higher education and work?,Which is the best country for higher education after USA and UK?,0
496,988,989,What is the painting on this image?,What is this painting?,0
497,990,991,Which are the major highways in California and how are they compared to the major highways in Tennessee?,Which are the major highways in California and how are they compared to the major highways in Texas?,0
498,992,993,What's beyond our Universe?,"If space is expanding, where does the new space come from?",0
499,994,995,Is growing of hair a physical or a chemical change?,Can a bald person ever grow their hair back?,0
500,996,997,What is the difference between culture and history?,How is chili different between cultures?,0
501,998,999,What does it mean when a guy says I like you?,"What does it mean when a guy says ""Be safe""?",0
502,1000,1001,"What makes a programmer ""good?""",What makes a good programmer great?,1
503,1002,1003,What will most likely cause World War III?,Is World War III imminent?,0
504,1004,1005,Is civil war likely after the US presidential election?,Is the US at risk of some type of uprising after the election?,1
505,1006,1007,Which European country is the best for asylum seekers?,What are the best countries for whistleblowers to seek asylum?,0
506,1008,1009,Where and how do the crop circles get generated?,What are crop circles?,1
507,1010,1011,Will baking soda help pass a urine test?,How does baking soda help you pass a drug test?,1
508,1012,1013,What is Zika virus and how is it transmitted?,How is Zika virus spread?,1
509,1014,1015,What is the best way to learn algebra by yourself?,How do you learn algebra 1 fast?,1
510,1016,1017,How does it feel to retake a class in college?,Does retaking subjects in college affect future job prospects?,0
511,1018,1019,Does Google Display Network require any site to have it SEO (on-page and off-page optimized) first before they can proceed with GDN? Is this possible?,How can I get my name off the first page on Google search?,0
512,1020,1021,"How hard is it to fake appearing ""spiritual"" in a Christian community?",Why did the Battle of Agincourt happen? How does it compare to the Battle of Edge Hill?,0
513,1022,1023,What is an actinomorphic flower?,Flowers: What is vaijanti?,0
514,1024,1025,What is the best place for sex?,What is the best place to have sex from?,1
515,1026,1027,Do people with anemia die younger?,Does anemia increase irritability?,0
516,1028,1029,"How do you feel about the new MacBook Pro, late 2016?",Should I get the new Macbook Pro?,1
517,1030,1031,Does covering your head while sleeping cause brain damage?,Does binge drinking cause long term brain damage?,0
518,1032,1033,What are the major differences between Chinese culture and western cultures?,What is the difference between Chinese and western culture?,1
519,1034,1035,What are scraping techniques?,What are some good free web scrapers / scraping techniques?,1
520,1036,1037,I am 29Y old. I have diabetic Type 2. Recently my sugar level was increased to 150 (fasting). I do exercise and eat whole grains. why this happening?,Where can I find the best Security Cameras?,0
521,1038,1039,Is it healthy to eat egg whites every day?,Is it healthy to eat one chicken every day?,1
522,1040,1041,What words rank the highest on Dictionary.com's difficulty index?,Can Hindi words get a place in the Oxford dictionary?,0
523,1042,1043,Why can't I feel remorse or empathy at all?,Why do I not feel remorse?,0
524,1044,1045,How many minutes of cardio a day should I do?,How many minutes of yoga can be done in a day?,0
525,1046,1047,Why is my dog biting me?,Why did my dog bite me?,0
526,1048,1049,How can I treat a severe foot sprain?,How can I get a severe foot sprain?,0
527,1050,1051,How can a severe crick in the neck be treated?,What are some symptoms of a severe crick in the neck?,0
528,1052,1053,What are the best places to recommend foreigners to visit in Nepal?,What are the best places to visit in Nepal?,1
529,1054,1055,"Who do I activate the dlc of skyrim in a laptop? Ive got it working on my computer after doing the command lines, but did the same on laptop, to no use..",I'm tired of the laptops Ive bought getting old and slow after 2ish years. Do desktops degrade as quickly? Will getting a solid state drive laptop/desktop help increase its longevity?,0
530,1056,1057,How should I prepare for HSBC GLT placement tests?,"Which company should I choose, HSBC (GLT) or Cybage Software?",0
531,1058,1059,Did any Indian writers/authors ever use a pen name?,"How badly did Donald Trump miscalculate his run would have on his ""brand"" value?",0
532,1060,1061,How do I register institute providing training in various programming languages for vocational courses as it will exempt it from the service tax?,How much marks should I score in SSC cpo to get Delhi police?,0
533,1062,1063,How imminent is world war III?,Are we heading toward World War 3?,1
534,1064,1065,How do you write a song?,How do I write a song?,1
535,1066,1067,What could be Narendra Modi's next move after demonetization?,What is next step after demonetization?,1
536,1068,1069,"If you have me, you want to share me. If you share me, you haven't got me. What am I?","If you have me, you want to share me. If you share me, you don't get me. What am I?",1
537,1070,1071,"What is an interesting fact that you know and I don't, but shouldn't?",What is the most interesting fact that most people don't know about?,1
538,1072,1073,What is the problem with controlled fusion?,Why haven't we developed a fusion reactor capable of generating more energy than it consumes? What are the problems we face?,0
539,1074,1075,Where do I find 3ds emulator for android?,Is there a working Nintendo 3DS emulator for PC?,1
540,1076,1077,"I want to start my clothes boutique in India, from where can I buy cheap wholesale clothes?",Where can I buy cheap clothes in bulk?,0
541,1078,1079,How can I become a true computer science engineer?,How do I become a good computer science engineer?,1
542,1080,1081,Is it necessary to unlock bootloader before rooting Android phones?,How ClockWorkMod works for phones NOT having bootloader unlocked?,0
543,1082,1083,What is bss engineer?,Is it right option from being Android Developer to become Translator after 3 years in software development field?,0
544,1084,1085,Why do I get punished by Quora moderators when I put Israel and Judaism in a negative light?,How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,0
545,1086,1087,What can you do in lucid dreams?,How was your experience of Lucid dreaming?,1
546,1088,1089,What does it feel like to be beautiful?,What does it feel like to be attractive and desired by many?,0
547,1090,1091,Is it possible to do CA after 12th Science?,What should be done further to apply for Ph.D fellowship from a government institution if I have cleared TIFR GS 2016 written test?,0
548,1092,1093,How can I hack someones whatsapp account?,How can I hack another WhatsApp account?,1
549,1094,1095,What is it like to study math at UCLA?,Could USC buy UCLA?,0
550,1096,1097,What is the best lesson in life?,What is the most important lesson you have learned from life?,1
551,1098,1099,What are some Interesting mobile apps?,What are the best mobile apps for recruiters?,0
552,1100,1101,How will Trump's presidency affect Indian students who are planning to do a PhD in the US?,How would Trump presidency affect Indian students in the US?,1
553,1102,1103,What are the various Batman movies in the series? (In order),What is the order of the Batman: Arkham games?,0
554,1104,1105,What are the best daily life hacks one can use to make his life easy?,What are the hacks in daily life?,1
555,1106,1107,How much weight will I lose by not eating for a week?,How much weight do I lose by purging after every time I eat?,0
556,1108,1109,What is your favourite anime character and why?,What is your favorite anime character? And why?,1
557,1110,1111,How do ATM machines work internally?,How does ATM transaction work?,0
558,1112,1113,How many Mechanical Engineers graduate from India per year?,How many mechanical engineers graduate per year in India?,1
559,1114,1115,How do I start a successful private equity firm?,What do you need to start your own private equity firm?,1
560,1116,1117,What are most underrated date activities?,What is the most underrated activity?,0
561,1118,1119,What are some common facts every mechanical engineer should know?,What should all mechanical engineering students know?,0
562,1120,1121,What can be the medium budget to visit best places in Kerala for three members (2-3 days)?,What are the best places to visit in Kerala for college students?,1
563,1122,1123,"Why is Quora Digest filled with questions about Google, IQ, and China?",Why are there so many questions about IQ questions on Quora?,0
564,1124,1125,How would you destroy the world?,How can I destroy the world?,0
565,1126,1127,How can I earn money from YouTube?,How do I make money through YouTube?,1
566,1128,1129,What are the differences between particles and molecules?,How can I entirely turn off syntax highlighting in Sublime Text for Golang?,0
567,1130,1131,"On Facebook, how can I add mutual friends?",Can I see an ordered list of the people with whom I share the most mutual friends on Facebook?,0
568,1132,1133,"What is Russian president Vladmir Putin like as a person, to his closest friends and family?","When did Putin become a public person, and what was his ""rise to fame"" like?",0
569,1134,1135,How do I start writing again?,How do I start writing?,0
570,1136,1137,If time started because of the big bang happening then how could the big bang start because there was no time for the big bang to start?,How did the Big Bang happen when there wasn't any time for it to happen in?,1
571,1138,1139,How does it feel to be in a relationship than being single and how does our life changes when we are in a relationship?,Why do I want to stay single all my life after my breakup? Why do I feel like I am done with this serious relationship thing?,0
572,1140,1141,How can I start civil service exam preparation from scratch?,When should I start preparing for the civil service exam?,1
573,1142,1143,What are the non-invasive blood glucose monitoring systems abroad?,What are the non-invasive blood glucose monitoring systems in India?,0
574,1144,1145,What is the difference in pleasure between masturbation and sex?,What is the difference between sex and masturbation when it comes to pleasure?,1
575,1146,1147,"What does ""the more things change the more they stay the same"" mean?",Why do some people believe that life ends at death?,0
576,1148,1149,How do I start a solar energy business in egypt?,How do I start solar energy business?,0
577,1150,1151,"Can my PC with specs 2 GB DDR2@ RAM, Intel Core Duo 3.5 GHz, NVidia GeForce GT 610 3gb DDR3 run Assassin's Creed Syndicate and GTA V?",Does web Methods has future after 5 to 10 years from now?,0
578,1152,1153,Do you have any psychic abilities?,Do you have psychic power?,1
579,1154,1155,How do I manage time for studies?,How do you manage time between work and study?,0
580,1156,1157,What is the academic calendar at XLRI?,Is it possible to give usmele step 1 after 8 years of gap?,0
581,1158,1159,What is your take on Urjit Patel as the new RBI governor?,Is Urjit Patel is right person for RBI Governor?,1
582,1160,1161,Why do you want to be to president?,Would you want to be President?,0
583,1162,1163,Why India does not have friendly relations with it's neighbouring countries?,How are India's relations with the U.S.A.?,0
584,1164,1165,Do Trump voters care that he has reneged all his campaign promises?,How will Trump supporters react once they realize he can't or won't keep his campaign promises?,1
585,1166,1167,"Can I learn while sleeping? If so, how?",How can I efficiently learn while sleeping?,1
586,1168,1169,Can you play Asian Playstation 4 games on a European Playstation?,Can you play Asian Playstation 4 games on a European Playstation 4?,0
587,1170,1171,How do I stop being addicted to porn?,How can I stop watching porn?,1
588,1172,1173,"Why did British engineering and manufacturing skills decline so dramatically in the 60s, 70s and 80s, especially when compared with Germany's?","Why did the UK have bad living standards in the 70s/80s, but better now?",0
589,1174,1175,How do I work with machine learning researchers after graduation?,How can undergraduate help with machine learning research?,0
590,1176,1177,What is the future for iOS Developers?,"As of 2015, what is the future of iOS development?",0
591,1178,1179,What is the meaning of life? Whats our purpose on Earth?,What do you feel is the purpose of life?,1
592,1180,1181,How do I be a boyfriend?,How does a girl get a boyfriend?,0
593,1182,1183,How is time travel possible?,Do you think time travel is possible?,1
594,1184,1185,How can one get a fuller face?,How do I do to get fuller face?,1
595,1186,1187,Is it too late for me at the age of 25 thinking to start a career in photography?,I want to start my career as a photographer at age of 25. Is it too late?,1
596,1188,1189,What’s the best time to have sex?,When will the best time for having sex?,1
597,1190,1191,Can we weld steel and aluminum together?,Why can't steel and aluminum be welded together?,0
598,1192,1193,Which YouTube video has the highest like/dislike ratio?,How is it possible for a YouTube video to have more likes/dislikes than views?,0
599,1194,1195,What is solution to Kashmir issue?,Is it possible for the Sharif government to resolve the conflicts in Kashmir?,0
600,1196,1197,"If you dug a hole through the earth, and came out the other side what would happen?",If I dug a huge hole in the ground in a straight line what would happen when I reach the opposite side of the Earth? Would my head or my feet come out first?,0
601,1198,1199,Can we create free energy?,How do we make free energy?,1
602,1200,1201,What should I do for Web design?,What Is Web Design?,0
603,1202,1203,What's the funniest highbrow joke you've ever heard?,What are the funniest jokes / stories you ever heard?,1
604,1204,1205,How do I find the phenotypic ratio?,What is a phenotype ratio?,0
605,1206,1207,Why does Saturn benefit a house it sits in slowly?,Why does time seem to pass so slowly when you are in a boring lecture?,0
606,1208,1209,Who is the most academically qualified Bollywood celebrity?,Which bollywood celebrity has his/her own jet?,0
607,1210,1211,"Is there a difference in quality between wired and wireless headphones? If so, why?",What are the differences between having BOSE headphones in the ear and around the ear?,0
608,1212,1213,What are some movies that everyone needs to watch at least once in life?,What movies would you recommend everyone to watch?,1
609,1214,1215,Can World War 3 ever take place?,Is World War 3 more imminent than expected?,1
610,1216,1217,How can eating prunes help during a constipation?,Does eating prunes help with constipation?,1
611,1218,1219,You have given all statement as correct in UNCCD question in CSE prelim 2016. While many coachings have taken 2nd statement as wrong.?,Have you ever been told any condescending statement by your elders to prove their point in question ?,0
612,1220,1221,What would be today’s technology had we never realized the value of binary numbers and harnessed it to produce digital technology?,Would the world be less technologically advanced if the two world wars had never occurred?,0
613,1222,1223,What is the best way to invest in oil and natural gas?,What is the minimum investment If I want to buy oil and gas royalties?,0
614,1224,1225,Is Arnab Goswami pro-BJP?,Are Quorans supportive of Modi?,0
615,1226,1227,What are some good sources for learning NuGet?,What is a good source to learn mathematica?,0
616,1228,1229,How would do you describe a person with lots of interests?,What are some examples of how to describe a person in a positive light?,0
617,1230,1231,Is it possible to turn off indicator light on a dahua camera?,What happens when you fly into a country but they refuse you entry?,0
618,1232,1233,Why is Barack Obama so important for the world?,Why is Barack Obama so important to the world?,1
619,1234,1235,What is the reason Pakistan supports terrorism?,Has Pakistan become a safe haven for global terrorism?,1
620,1236,1237,How do I can stop hairfall?,How can I stop hairfall?,1
621,1238,1239,"In your opinion, what is the best classical song of all time?",What's the best classical music piece of all time?,1
622,1240,1241,What are some unusual aspects about politics and government in Hungary?,What are some unusual aspects about politics and government in Singapore?,0
623,1242,1243,What is the aim?,What is the aim of science?,0
624,1244,1245,How should I respond to my boss who fired me via email?,Is it okay to fire someone via email?,0
625,1246,1247,What are cheap and budget stay options in North Goa?,What are some nice budget places to stay in Goa?,0
626,1248,1249,Is there any other website similar to Quora?,Are there any website like Quora?,1
627,1250,1251,What are the conditions in European refugee camps?,How are the conditions inside European Refugee Camps?,1
